functionality	function_total	domain	phylum	class	order	family	genus	species	count	order_total
predatory_or_exoparasitic	135	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Bacteriovorax		2	2
predatory_or_exoparasitic	135	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio		99	115
predatory_or_exoparasitic	135	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae			16	115
predatory_or_exoparasitic	135	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium		18	18
nonphotosynthetic_cyanobacteria	6	Bacteria	Cyanobacteria	Vampirivibrionia	Obscuribacterales	Obscuribacteraceae			6	6
photosynthetic_cyanobacteria	10	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae			1	28
photosynthetic_cyanobacteria	10	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae			1	28
photosynthetic_cyanobacteria	10	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Phormidiaceae			4	28
photosynthetic_cyanobacteria	10	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Xenococcaceae			1	28
photosynthetic_cyanobacteria	10	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae			1	4
photosynthetic_cyanobacteria	10	Bacteria	Cyanobacteria	Cyanobacteriia	Pseudanabaenales	Pseudanabaenaceae			2	8
anoxygenic_photoautotrophy_S_oxidizing	9	Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium		4	16
anoxygenic_photoautotrophy_S_oxidizing	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes		2	403
anoxygenic_photoautotrophy_S_oxidizing	9	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocapsa		3	12
anoxygenic_photoautotrophy	9	Bacteria	Bacteroidota	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium		4	16
anoxygenic_photoautotrophy	9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Rhodoplanes		2	403
